arm,grid_dx_um,oxygen_k_ROS,configured_founders,initial_N,final_N,max_N,cumulative_divisions,termination_cause,termination_time_s,termination_wall_seconds,wrapper_wall_seconds,mortality_lysis,mortality_colicin,mortality_cdi,outflow_washout_trapped,outflow_boundary,gross_loss_channel_sum,net_N_decrease,loss_closure,sos_inductions,oxygen_funded_growth,oxygen_demanded_growth,oxygen_funded_growth_fraction,oxygen_funded_maintenance,oxygen_demanded_maintenance,oxygen_maintenance_shortfall,oxygen_agent_total_removal,oxygen_flora_removal,oxygen_agent_share,oxygen_boundary_delivery,oxygen_boundary_mean_flux,oxygen_reaction_clips,oxygen_clip_relative,carbon_funded_growth,carbon_demanded_growth,carbon_funded_maintenance,carbon_demanded_maintenance,carbon_maintenance_shortfall,carbon_agent_total_removal,carbon_reaction_clips,carbon_clip_relative,fermentation_fraction_mean,fermentation_fraction_final,final_acetate_mean,acid_inhibition_enabled,delivery_reduction_fields
A_ros0_res2,2.0,0.0,4,4,5,8,5,horizon_reached,21600.0,63.263349959,63.37,0,0,0,0,4,4,-1,True,0,4.891758975087843e-14,6.624276825485071e-14,0.7384593222717014,1.0246175581653399e-13,1.0817999999999968e-13,5.7182441834657015e-15,1.5137934556741242e-13,0.0,1.0,2.881701928845659e-13,1.4476142180495568e-09,0.0,0.0,3.2906053818362423e-15,4.6601689721638395e-15,1.85984954559217e-15,1.868760537179236e-15,8.910991587065979e-18,5.150454927428412e-15,0.0,0.0,0.17132186922351925,0.3189990113576458,7.273353817494915e-05,True,
A_ctrl_res2,2.0,100.0,4,4,1,4,0,population_stop,3540.0,11.992364697,12.09,3,0,0,0,0,3,3,True,3,9.825566530337087e-15,1.1427705824568039e-14,0.8598021931237881,1.0585099363866808e-14,1.0980000000000009e-14,3.949006361332013e-16,2.0410665894203893e-14,0.0,1.0,1.57612536244142e-13,4.831088902257373e-09,0.0,0.0,4.789914082080274e-16,4.789914082080275e-16,1.5797624647323636e-16,1.5797624647323636e-16,0.0,6.369676546812637e-16,0.0,0.0,0.0510388157276769,0.02461667826675951,7.273796756361441e-05,True,
B_ros0_res2,2.0,0.0,80,80,76,156,103,horizon_reached,21600.0,83.651762891,83.77,5,0,0,0,102,107,4,True,5,6.696128977924273e-13,1.0799575331867727e-12,0.6200363229251362,2.0314398695361134e-12,2.4787800000000013e-12,4.4734013046388773e-13,2.701052767328541e-12,3.5807842961807565e-12,0.4299781640340126,4.501734840929334e-12,2.2614328346682368e-08,0.0,0.0,7.514935206626573e-14,1.0947009347283097e-13,3.949916905303756e-14,3.961347522144464e-14,1.1430616840707687e-16,1.146485211193033e-13,1.1507041187117598e-20,1.5312229408140256e-07,0.346098194005523,0.5893059427632367,7.578013489538067e-05,True,
B_ctrl_res2,2.0,100.0,80,80,21,80,44,horizon_reached,21600.0,209.088938843,209.18,75,1,0,0,27,103,59,True,74,4.3555519794559463e-13,6.283198052335188e-13,0.6932062212868142,9.387674227578441e-13,1.0331400000000006e-12,9.437257724215638e-14,1.3743226207034388e-12,3.897242184536492e-12,0.26070487065574216,3.477748884894183e-12,1.7470365974302858e-08,0.0,0.0,3.664098240298942e-14,4.723220466114899e-14,1.6691952843145016e-14,1.6746180737178946e-14,5.422789403392893e-17,5.3332935246134435e-14,0.0,0.0,0.26616127245802984,0.4064083070088553,7.327200604565138e-05,True,
B_ros0_res6,6.0,0.0,80,80,171,254,263,horizon_reached,21600.0,2.821309479,2.83,6,0,0,0,166,172,-91,True,6,2.5901449609650942e-12,2.732624760423365e-12,0.947859727569695,3.5429210699011333e-12,3.634680000000006e-12,9.175893009887278e-14,6.1330660308662275e-12,1.362982730847382e-12,0.8181731770731169,7.142559315474315e-12,3.5880429946079655e-08,0.0,0.0,1.277562079283557e-13,1.2811721097505343e-13,6.12958340308157e-14,6.133954280510038e-14,4.370877428468062e-17,1.890520419591714e-13,0.0,0.0,0.0523571273629475,0.09578280808570638,5.9396492923468636e-05,True,
B_ctrl_res6,6.0,100.0,80,80,68,80,99,horizon_reached,21600.0,7.031702963,7.04,72,2,0,0,37,111,12,True,71,1.0912699090686278e-12,1.1043346119703573e-12,0.9881696156580483,1.1873774508261653e-12,1.1933400000000027e-12,5.962549173837365e-15,2.278647359894793e-12,1.8048421025754642e-12,0.5580147520489384,4.167856108217778e-12,2.0937098666056704e-08,0.0,0.0,4.491623312083456e-14,4.5045415422870586e-14,1.9928115027006847e-14,1.9952084662771186e-14,2.3969635764338183e-17,6.484434814784141e-14,0.0,0.0,0.009247818994802,0.01629848524583142,5.9396492923468636e-05,True,
